nombre	id	url
08.02-Funciones de distancia-Distancias de Minkowski, Fraccionales y DPF	08.02	https://www.youtube.com/watch?v=7gcQKwAbhZ8
08.03-Funciones de distancia-Formas cuadráticas y EMD	08.03	https://www.youtube.com/watch?v=x84fwv41WM8
08.04-Funciones de distancia-Distancias de Jaccard, de Hamming, de Hausdorff, de Levenshtein	08.04	https://www.youtube.com/watch?v=zBkffelL2Q4
08.05-Funciones de distancia-Ultramétricas	08.05	https://www.youtube.com/watch?v=10rATifPYdE
08.06-Índices métricos-Definiciones y pivotes	08.06	https://www.youtube.com/watch?v=PsIo1toWhlk
08.07-Índices métricos-Búsqueda por rango y knn	08.07	https://www.youtube.com/watch?v=99goh2YP2dk
08.08-Índices métricos-Dimensión intrínseca	08.08	https://www.youtube.com/watch?v=CU2VYrsUujY
08.09-Índices métricos-Métodos de selección y evaluación de pivotes	08.09	https://www.youtube.com/watch?v=OJZulhr2rl0
08.10-Índices métricos-Búsqueda aproximada	08.10	https://www.youtube.com/watch?v=QV8xekACv2M
08.11-Índices métricos-Multimétricas	08.11	https://www.youtube.com/watch?v=bCoYT7r1lCg
09.01-Espacios de alta dimensión-geometría y efectos	09.01	https://www.youtube.com/watch?v=mdO74Z5k-F0
09.02-Espacios de alta dimensión-dimensión intrínseca	09.02	https://www.youtube.com/watch?v=b8_O4o36fD4
09.03-Espacios de alta dimensión-funciones de distancia	09.03	https://www.youtube.com/watch?v=aw16dyuiypI
09.04-Espacios de alta dimensión-captura de datos	09.04	https://www.youtube.com/watch?v=1A8mpiMPr8E
09.05-Evaluación de efectividad-Introducción	09.05	https://www.youtube.com/watch?v=8Hmi8X0cywc
09.06-Evaluación sistemas de recuperación-gráfico recall-precision	09.06	https://www.youtube.com/watch?v=527X89D4f04
09.07-Evaluación sistemas de recuperación-indicadores únicos	09.07	https://www.youtube.com/watch?v=Cn4w50pGA4E
09.08-Evaluación sistemas de recuperación-correlación de rankings	09.08	https://www.youtube.com/watch?v=_kDeORKfiMw
09.09-Evaluación clasificadores-detección binaria	09.09	https://www.youtube.com/watch?v=ZnFS2L7zNko
09.10-Evaluación clasificadores-detección binaria con umbral de decisión	09.10	https://www.youtube.com/watch?v=JvHnoZrbRPk
09.11-Evaluación clasificadores-detección multiclase	09.11	https://www.youtube.com/watch?v=Ponjx-xiR-o
09.12-Evaluación clasificadores-ejemplo umbral de decisión	09.12	https://www.youtube.com/watch?v=i7pN_NGx0vM
10.01-Descriptores locales	10.01	https://www.youtube.com/watch?v=wL-F92sZPgA
10.02-Puntos de interés-Multiescala	10.02	https://www.youtube.com/watch?v=OJWOeu7fr6w
10.03-Puntos de interés-Esquinas (Moravec, Harris-Stephens, Shi-Tomasi)	10.03	https://www.youtube.com/watch?v=1MN68NkpQBs
10.04-Puntos de interés-Blobs (diferencia de gaussianas)	10.04	https://www.youtube.com/watch?v=EoeVHXlk7hE
10.05-Descriptor SIFT	10.05	https://www.youtube.com/watch?v=E8fjQFitwz8
10.06-Calcular descriptores SIFT con OpenCV en python	10.06	https://www.youtube.com/watch?v=TtiEcAmrUiM
10.07-Buscar y seleccionar coincidencias entre imágenes	10.07	https://www.youtube.com/watch?v=fxrucBQ5vNQ
10.08-Coherencia espacial	10.08	https://www.youtube.com/watch?v=Mqv207p2FGY
10.09-Coherencia espacial-Modelos de transformación	10.09	https://www.youtube.com/watch?v=YM9QIV0B8rY
10.10-Coherencia espacial-RANSAC	10.10	https://www.youtube.com/watch?v=6Pjp8gNSgmY
10.11-Coherencia espacial-Ejemplo RANSAC con OpenCV en python	10.11	https://www.youtube.com/watch?v=K1bMDBhoNA4
10.12-Coherencia espacial-Transformada de Hough	10.12	https://www.youtube.com/watch?v=pR5NtISowxc
10.13-Uso de descriptores locales-Image stitching	10.13	https://www.youtube.com/watch?v=7hc9--1gARU
10.14-Uso de descriptores locales-Distancia global entre imágenes	10.14	https://www.youtube.com/watch?v=1Uugg1hstcw
10.15-Descriptores locales, variantes y otras implementaciones	10.15	https://www.youtube.com/watch?v=rOj6x8DIGP0
11.1-Búsqueda de objetos en videos usando descriptores locales	11.1	https://www.youtube.com/watch?v=rEtPl34NXms
11.2-Búsqueda de objetos en videos con Bag-of-Visual-Words (BoVW)	11.2	https://www.youtube.com/watch?v=ObiuLQpt5Oo
11.3-Clasificación de imágenes con Bag-of-Visual-Words (BoVW)	11.3	https://www.youtube.com/watch?v=GBl-rEuOb2M
Repaso ML - parte 1 - Historia IA y conceptos machine learning	Repaso ML	https://www.youtube.com/watch?v=YP-4ZT9jtBc
Repaso ML - parte 2 - Algoritmos de clustering	Repaso ML.2	https://www.youtube.com/watch?v=0VOqXdQwkY4
Repaso ML - parte 3 - Repaso algoritmos de clasificación	Repaso ML.3	https://www.youtube.com/watch?v=y99uF3Pllso
Repaso ML - parte 4 - Conjuntos de entrenamiento,validación,test,producción	Repaso ML.4	https://www.youtube.com/watch?v=EdxCiGO24YU
12.1-Deep learning-Introducción	12.1	https://www.youtube.com/watch?v=h9NkosUWoSg
12.2-Deep learning-Capa convolucional	12.2	https://www.youtube.com/watch?v=CVJTx6aI7qA
12.3-Deep learning-Capa pooling	12.3	https://www.youtube.com/watch?v=5nRixqXhIBs
12.4-Deep learning-Capa fully connected y funciones de activación	12.4	https://www.youtube.com/watch?v=NHUqxVefs5U
12.5-Deep learning-Entrenamiento, dropout y otros	12.5	https://www.youtube.com/watch?v=x1T2Z0h9wuQ
12.6-Deep learning-Hardware, software, datos	12.6	https://www.youtube.com/watch?v=oZ6h2YIRP0g
12.7-Deep learning-ImageNet y redes convolucionales	12.7	https://www.youtube.com/watch?v=nUHi0J97BHk
12.8-Deep features	12.8	https://www.youtube.com/watch?v=wiXNPkdBkK4
12.9-Uso de CNN en OpenCV	12.9	https://www.youtube.com/watch?v=H-Az_kQktMs
12.10-Uso de CNN en Keras	12.10	https://www.youtube.com/watch?v=bEFHsMcOSHQ
13.1-Espacio de palabras (word embeddings), word2vec	13.1	https://www.youtube.com/watch?v=2ce6Ee38zSg
13.2-GloVe	13.2	https://www.youtube.com/watch?v=98rjNqIExbo
13.3-FastText	13.3	https://www.youtube.com/watch?v=ZMAJ1dVYDlA
13.4-Sentence embeddings	13.4	https://www.youtube.com/watch?v=cjMnbVWEDsw
13.5-Clasificación de texto con redes convolucionales	13.5	https://www.youtube.com/watch?v=mfo1ULV4VsA
13.6-Clasificación de texto con redes recurrentes	13.6	https://www.youtube.com/watch?v=uejqnqRGpYg
13.7-Exploración espacio de palabras (word2vec) usando java	13.7	https://www.youtube.com/watch?v=pTDwSj0TbHg
14.1-Buscador de imágenes sin etiquetar en python	14.1	https://www.youtube.com/watch?v=Rr0eRlGDKiI
